epoch, cost
0,0.37
1,0.341891
2,0.224627
3,0.182636
4,0.151655
5,0.141900
6,0.136491
7,0.127827
8,0.121918
9,0.119909
10,0.110609
11,0.110973
12,0.104445
13,0.113427
14,0.103809
15,0.105736
16,0.101855
17,0.094064
18,0.095064
19,0.101373
20,0.100391
21,0.093582
22,0.107518
23,0.088427
24,0.097773
25,0.089309
26,0.091800
27,0.092218
28,0.081864
29,0.085455
30,0.079982
31,0.090345
32,0.085600
33,0.082609
34,0.082873
35,0.079236
36,0.078145
37,0.075609
38,0.076709
39,0.076564
40,0.076027
41,0.082118
42,0.078227
43,0.083064
44,0.074955
45,0.079627
46,0.074509
47,0.072627
48,0.074364
49,0.068245
50,0.078882
51,0.072227
52,0.075491
53,0.070527
54,0.077882
55,0.068345
56,0.066718
57,0.065227
58,0.068591
59,0.065591
60,0.068236
61,0.071109
62,0.067718
63,0.070873
64,0.059891
65,0.070745
66,0.065227
67,0.069873
68,0.072445
69,0.065864
70,0.066373
